engineer,prs_merged,merged_per_week,avg_review_rounds,vq_raw,prs_reviewed,avg_turnaround_hours,team_raw,files_touched,leverage_raw,active_weeks,total_events,consistency_raw,velocity_quality_norm,team_multiplier_norm,leverage_norm,consistency_norm,impact_score
DanielVisca,2,0.1538,0.0,0.153846,0,,0.0,4,3.75,1,2,-0.0,1.0,0.0,0.5769230769230769,0.0,0.465385
MattPua,2,0.1538,0.0,0.153846,0,,0.0,7,1.0,1,2,-0.0,1.0,0.0,0.15384615384615385,0.0,0.380769
pauldambra,2,0.1538,0.0,0.153846,0,,0.0,14,1.0,1,3,-0.0,1.0,0.0,0.15384615384615385,0.0,0.380769
andyzzhao,1,0.0769,0.0,0.076923,0,,0.0,2,6.5,1,1,-0.0,0.5,0.0,1.0,0.0,0.375
Piccirello,1,0.0769,0.0,0.076923,1,0.24,0.990008,1,1.0,1,2,-0.0,0.5,0.3395143886064007,0.15384615384615385,0.0,0.290648
webjunkie,0,0.0,0.0,0.0,3,0.73,2.915953,0,0.0,1,3,-0.0,0.0,1.0,0.0,0.0,0.25
cat-ph,0,0.0,0.0,0.0,1,0.02,0.999121,3,4.666667,1,4,-0.0,0.0,0.34263961044639607,0.7179487692307693,0.0,0.22925
arthurdedeus,1,0.0769,0.0,0.076923,0,,0.0,15,1.266667,1,3,-0.0,0.5,0.0,0.19487184615384615,0.0,0.213974
turnipdabeets,1,0.0769,0.0,0.076923,0,,0.0,1,1.0,1,1,-0.0,0.5,0.0,0.15384615384615385,0.0,0.205769
patricio-posthog,1,0.0769,0.0,0.076923,0,,0.0,1,1.0,1,1,-0.0,0.5,0.0,0.15384615384615385,0.0,0.205769
lricoy,1,0.0769,0.0,0.076923,0,,0.0,1,1.0,1,1,-0.0,0.5,0.0,0.15384615384615385,0.0,0.205769
EDsCODE,1,0.0769,0.0,0.076923,0,,0.0,1,1.0,1,1,-0.0,0.5,0.0,0.15384615384615385,0.0,0.205769
fercgomes,1,0.0769,0.0,0.076923,0,,0.0,30,1.0,1,2,-0.0,0.5,0.0,0.15384615384615385,0.0,0.205769
MattBro,1,0.0769,0.0,0.076923,0,,0.0,1,1.0,1,1,-0.0,0.5,0.0,0.15384615384615385,0.0,0.205769
rafaeelaudibert,0,0.0,0.0,0.0,2,0.23,1.981151,0,0.0,1,2,-0.0,0.0,0.6794180153109464,0.0,0.0,0.169855
jordanm-posthog,0,0.0,0.0,0.0,1,2.98,0.889612,6,2.833333,1,2,-0.0,0.0,0.3050844783849397,0.43589738461538463,0.0,0.163451
